a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
allergy	n过敏症;变应性;厌恶;反应
alleviant	n缓和剂
alleviate	n减轻痛苦;缓和
alleviation	n减轻;缓和;安慰物
alleviative	n解痛物;缓和物;忍藉物;adj.减轻的;安慰的;缓和的
all expense	adj.包含一切费用的
alley	n弄;小径;(保龄球)道;(公园)小径
alleyway	n小巷;背街;窄巷
all father	n上帝;神
all fired	adj.adv.非常;极端(的，地)
all flesh	所有的人
all fools day	n愚人节
all for	完全赞成
all fours	n所有四足动物
allhallowmas	n万圣节;万圣节宴
allhallows	n万圣节;诸圣徒日
all heal	n万灵药
alliaceous	adj.葱的;有葱味的
alliance	n近似;共通点;同盟;盟约;联婚
allicin	n蒜素
allied	adj.近似的;同盟的;联合国的;姻亲的;同源的
allied forces	n盟军;联军
allier	n阿利耶河(法国中部)
allies	n联盟国;同盟者;协约国
alligator	n短嘴鳄鱼;鳄鱼皮;水陆两用战车
alligatorfish	n大西洋产的一种细长型的鱼
all important	adj.最重要的;重大的;必要的;主要的
all in	adj.疲倦的;筋疲力尽的;全部包括的;无限制的;自由式的
all in all	adv.普遍来说;完全地;
all inclusive	adj.概括所有的;综合全体的
all in one	n女用紧身内衣
allision	n一艘船被另一艘船撞之情形
alliterate	v.用头韵;押头韵;使形成头韵
alliteration	n头韵;头韵法
alliterative	adj.头韵的;头韵体的
allium	n有刺激味的青葱属植物
all kindness	n非常亲切
all kinds of	各种名类的
all knowing	adj.全知道的
all knowingness	n全知道
allness	n全部
all night	adj.一整夜的;整夜营业的;通宵的
allnighter	n长达整夜的事
all night long	n整夜(晚)
allo	pref.分歧;不同;相反
allobaric	adj.关於气压变化的
allocate	v.分派;配给;安置;部置
allocatee	n分配者;受分配者
allocation	n分派;布置;配给;安置;配给物
allochromatic	adj.杂质引起光化作用的;无色但含有色杂质之矿物的
allochthon	n因地壳动力搬移的岩石或矿物
allochthonous	adj.属曾被地壳动力搬移的
allocution	n正式演讲;训示
allodial	adj.自由地的
allodiality	n自由地
allodially	adj.自由地地
allodium	n自由地;自主地
all of a sudden	adv.突然地
allogamy	n异花受粉;异体受精
allogeneic	adj.同种异基因的
allograft	n同种异体移植
allograph	n代书;代理签名;异形文
allomerism	n结晶形相同化学成分不同的现象
allomerize	v.化学或矿物产生同形异质的现象
allometry	n异速生长;关於异速生长的研究
allomorph	n同质异形体
all ones life	n一生;一辈子
allonge	n附笺;补笺
allonym	n别人假托之名;笔名
allonymous	adj.别人假托之名的;笔名的
allopath	n对抗疗法
allopathic	adj.对抗疗法的
allopathist	n对抗疗法医生
allopathy	n对抗疗法
allopatircally	adv.在不同地区发生地;单独地发生地
allopatric	adj.在不同地区发生的;单独地发生的
allopelagic	adj.生於不同深度的
allophane	n含矽酸铝矿
allophone	n同位音
allophonic	adj.同位音的
all or none	adj.非全有即全无的
all or nothing	adj.非全有即全无的;孤注一掷的
allot	v.分配;分给;摊派;拨给;规定
allotment	n分配;市民菜园
allotrope	n同素体;同素异形体
allotropic	n同素的;同素异形的
allotropism	n同素;同素异形
allotropy	n同素性;同素异形
allottee	n接受分配的人
allotype	n同种抗免疫球蛋白
all out	adj.全力以赴;尽可能的;完全的;彻底的
all over	遍及;到处
allover	n印花布料;adj.全面的
all over the world	遍及;到处
allow	v.允许;听任;承认;给与;斟酌;扣除;让...得到
allowable	adj.可容许的;不碍事的
allowably	adj.可容许地;不碍事地
allowance	n定期津贴;零用金;宽限;折扣;许可;定量分配;vt.发津贴给...;把物品按定量发给...
allowedly	adv.经承认地;被许可地
allow for	考虑到
alloy	n合金;成色;劣等金属;混合物;v.使成合金;减低成色;减少;成合金;搀杂;熔合
all possessed	adj.爱恶魔所支配的;发狂的;着了魔的
all powerful	adj.全能的;力量强大无限的
all purpose	adj.可作各种用途的
all right	n好;可以;顺利;确实;adj.好的;可靠的;可以的
all round	=all around
all saints day	n万圣节
allseed	n多种子植物
allspice	n牙买加甜胡椒(香料的一种)
all square	n付清款项;完成应做工作;运动比赛的分数拉平
all star	adj.第一流演员或选手组成的
all the more	更;愈
all the same	依然;一样地
all the time	一直;总是
all the way	一路;老远自...
all the year round	全年;整年
all things considered	就大体说
all thumbs	笨拙;笨手笨脚的
all time	adj.前所未闻的;空前的;专职的
all together	adv.一起;总共
all told	总共
all too often	时常
allude	vi.暗示;提到
allure	n诱惑力;勾引力;诱惑力;vt.引诱;诱惑;吸引
allurement	n引诱;蛊惑;诱惑物;诱饵
alluring	adj.诱惑的;迷人的;引人向往的
alluringly	adv.诱人地;迷人地;引人向往地
allusion	n暗示;暗讽;言及;引喻;引述
allusion to，in	暗指，暗示
allusive	adj.暗指的;含典故的;引喻的
alluvia	pl.=alluvium
alluvial	n冲积层;冲积地;淤积土;冲积矿床;adj.冲积的;冲积期的
alluvion	n波浪的冲击;泛滥;冲积层
alluvium	n冲积土;冲积地;冲积层
all weather	adj.全天候的;适任何天气的
ally	n同盟者;联系;亲戚;同类的动物;v.联盟;联姻;结亲
allyear	adj.全年度的
allyl	n[化]烯丙基
alma mater	n母校
almanac	n日历;历书;年监;年历
almandine	n[矿]铁铝榴石
almemar	n犹太教会的讲堂
almighty	adj.全能的;非常的;无限权力的;adv.极;非常地
almighty dollar	[美话]万能的金钱，金力;
almond	n扁桃，杏仁果(树);[解]扁桃腺
almondeye	adj.杏眼的;细长椭圆形眼的
almoner	n救济品发放员;医院的社会服务员
almonry	n救济品发放处;施赈所
almost	adj.adv.差不多;几乎(的)
almost never	几乎未曾
alms	n施舍;捐献;救济金(品)
almsdeed	n慈善行为;善举;施舍;賙济
almsgiver	n慈善家;施给者
almsgiving	n施舍;赈济善行;济助
almshouse	n济贫院;养老院;救济院
almsman	n受救济者;依赖施舍的贫民
almuce	n[古]教士戴的皮帽
almug	n檀香树;檀香木
al\nadj	=Alabama
alnico	n铁，镍，铝及钴的合金
aloe	n芦荟[油];龙舌兰
aloeswood	n伽罗木;沉香木
aloft	adv.在高处;在上面;在桅顶
alogia	n[医]失语症
aloha	n(迎接或欢送的)招呼语;int.欢迎;珍重再见
aloha shirt	n夏威夷恤
aloin	n芦荟素
alone	adj.adv.孤单;独自;单独(的，地)
along	pre.向前;沿着;循着;adv.沿;一块儿;上前;成一行地
alongshore	adj.adv.沿海;近岸;靠岸(的，地)
alongside	adv.pre.傍，靠;横靠;在…(的)舷侧
alongside of	并肩，并列;相接
a long time ago	adv.很久以前
along with	随同…一起;连同…一起
aloof	adj.冷淡的;疏远的;adv.远离地，离开地
alopecia	n秃发症
a lot of	adj.许多
aloud	adv.大(高)声地
alow	adv.向下;在下;照耀地;着火地
alp	n山峰;高峰;牧场
alpaca	n羊驼;羊驼毛;羊驼呢
alpenglow	n高山上所见的朝(晚)霞
alpenhorn	n山笛
alpenstock	n铁头登山杖
alpestrine	adj.[植]高山上生长的
alpha	n希腊字母首字;最初;开始;第一位的东西;adj.第一位的;a位的
alphabet	n字母;初步;入门
alphabet code	n用於无线电话及电话之字母码
alphabetic	adj.字母的;按照子母序排的
alphabetical	=alphabetic
alphabetically	adj.按照子母序排列地
alphabetize	v.照字母序排列;以字母表示
alphabet soup	n字母汤(汤中有字母形状小面块)
alphametic	n字母算术
alphanumeric	adj.字母与数字符号构成的
alpha particle	n阿法粒子
alphascope	n电脑显示仪
alpha test	n智力测验
alphosis	n皮肤色素缺乏症
alpine	n高山植物;登山软帽;adj.高山的;极高的;(A-)阿尔卑斯山的
alpine garden	=rock garden
alpinism	n爬山
alpinist	n登山运动员;阿尔卑斯登山家
alps，the	npl.阿尔卑斯山脉
already	adv.已经，早已
alright	adv.好吧;好的;无问题
alsatia	n伦敦中央之一地区
alsatian	adj.伦敦之地区的
also	adv.又，也，同样;加之
alsoran	n落选之马;失败者;庸才
alt	nadv.中高者(的)
altai	n阿尔泰语(苏联境内一语言)
altaic	n阿尔泰语系;adv.阿尔泰语系的;阿尔泰山的
altair	n牵牛星;牛郎星;河鼓二
altar	n祭坛;供坛;圣餐台;乾船坞的台阶
altarage	n祭坛上的祭品
altar boy	n辅祭;举行弥撒时协助神父的待者
altar bread	n圣餐用的面饼
altarpiece	n祭坛後的绘画装饰
altar rail	n围绕祭之栏杆
altar wine	n作弥撒用的圣酒
altarwise	adv.在祭坛的位置
altazimuth	n地平经纬仪
alter	v.改变;改建;改作;奄割
alterable	adj.可改变的
alterant	n变色(质)剂;adj.起变化的;变质性的
alteration	n变更;改造;阉割
alterative	n变质药;增加体质的药;变质疗法;adj.引起改变的;改变体质的;使身体逐渐恢复健康的
altercate	v.争论;口角
altercation	n争论;口角
alter ego	n密友;至交;个性中之另一面
alternate	n替代者;代理人;交替函数;adj.轮流的;交错的;间隔的;交互的;v.交替;交流;交流作用
alternately	adv.交替地;相互地;间隔地
alternating	n交流电;交流
alternating personality	n多重性格
alternation	n互相;交替;间隔;轮流;变错;交变次数
alternation of generations	n世代交替
alternative	n二择其一;替换物;adj.二择其一的;可选择的
alternator	n交流发电机
althea	n蜀癸属植物;木槿
altho	=although
althorn	n[乐]中铜角
although	conj.纵使;虽然;既使
alti	pref.高度
altigraph	n有自动记录仪的高度测量器
altimeter	n高度表;高度测量器
altiscope	n似潜望镜的装置
altisonant	adj.冠冕堂皇的;崇高的
altissmio	adj.最高的
altitude	n高，高度;海拔高度;地平纬度;[数]三角形的顶垂线;pl.高处;高地位
altitude sickness	n高山症
altitudinal	adj.高度的;标高的
alto	n女声低音(部);男子最高音
altocumuli	pl.=altocumulus
altocumulus	n高积云
altogether	n全体;全部;adv.完全地;合计地;总而言之地
altometer	=altimeter
altorelievo	n高凸浮雕
altostrati	pl.=altostratus
altostratus	n高层云
altricial	adj.孵出後需母鸟照顾一段时期的
altruism	n利(爱)他主义
altruist	n利(爱)他主义者
altruistic	adj.利(爱)他主义的;不自私的
alula	n鸟翅上的小羽翼;[昆]翼膜
alulae	pl.=alula
alular	adj.翼膜的
alum	n明矾;白矾;校友
alumina	n矾土;铝气土
alumina cement	n快乾水泥
aluminate	n[化]铝酸盐
aluminiferous	adj.含铝的;产铝的
aluminite	n[化]矾土石
aluminium	n[化]铝(金属元素;符号A1;原子序为13)
aluminize	v.涂铝光漆
aluminography	n铝版术
aluminon	n[化]金黄色素三甲酸
aluminosilicate	n铝矽酸盐
aluminothermics	=aluminothermy
aluminothermy	n冶铝术
aluminous	adj.含明矾的;矾土的;铝的
aluminum	=aluminium
aluminum bronze	n铝铜;矾铜
aluminum foil	n铝箔
aluminumware	n铝制的器皿(具)
alumna	n女校友;女性毕业生
alumni	pl.=alumnus
alumni association	n校友会
alumnus	n学生;毕业生校友;前辈;男校友;男性毕业生
alumroot	n[植]矾根草
alundum	n人造磨粉的商标
alunite	n明矾石
alure	n走廊
alutaceous	adj.似皮革的
alveolar	n齿槽音;adj.齿槽的;气泡的;泡状的
alveolate	adj.有肺泡的;有小窝的
alveolation	n有肺泡;有小窝
alveoli	pl.=alveolus
alveolitis	n齿槽炎
alveolus	n蜂窝状小孔;齿槽;气泡;巢房;小洞;肺气泡
alvine	adj.肠的;腹的
always	adv.永远;总是;始终;随时;老是
alyssum	n十字花科的一年生植物
am	v.be的第一人称;单数
ama	=American Medical Association美国医药协会
amadan	n阿玛松(传说中可使人伤亡的小妖情)
amadavat	n梅花雀(印度的一种禽类)
amadis	n阿玛迪斯(英雄之象徵)
amadou	n火绒(止血和引火用)
amah	n[印]奶妈;保姆;阿妈
amain	adv.极端地;全力地;急速地
amaldar	n[印]经理;代理商;税务员
amalgam	n汞合金;混合物;汞齐
amalgamate	v.合并;混合;与水银混合;汞齐化
amalgamation	n合并;联合;混合;汞合
amalgamative	adj.合并的;混合的
amalgamator	n混合者;合并者
amandine	adj.含有杏仁的
amanita	n毒荤之一种
a man of decision	n果断的人
amanuensis	n笔记者;听写员;书记;文书
amaranth	n不凋花;苋属植物;紫红色色素
amaranthine	adj.不凋的;苋的;似苋的;呈紫红色的
amarelle	n一种酸樱桃树
amaryllidaceous	adj.属石蒜科的
amaryllis	n[植]宫人草;孤挺花;乡下姑娘;牧羊人
amass	v.积蓄;积聚;堆积;累积
amassment	n积蓄;积聚
a mass of	adj.大量的
amate	v.使挫折;使擙恼;与人为友
amateur	n外行人;业余爱好家;adj.业余的;非职业的
amateurish	adj.外行的;笨拙的
amateurism	n业余性技艺;业余活动
amateur player	n业余运动员
amateurship	n业余者资格(身份)
amateur theatricals	n业余表演戏剧;票友演唱的戏剧
amati	n阿玛提提琴
amative	adj.恋爱的;好色的
amatively	adv.恋爱地;好色地
amativeness	n恋爱;好色;色情
amatol	n一种强力炸药
amatorial	adj.恋爱的;好色的
amatory	=amatorial
amaurosis	n[医]黑内障;青光瞎
amaze	n惊愕;惊奇;v.使吃惊;使惊愕;使惊奇
amazed	adj.惊愕的;惊奇的
amazedly	adj.惊愕地;惊奇地
amazement	n惊愕;惊异;诧异
amazement，in	惊讶
amazement，to ones	惊奇的是…
amazing	adj.可惊的;惊奇的;惊人的
amazingly	adv.可惊地;惊讶地
amazon	n女英雄;悍妇;(the A-)亚马逊河(南美洲)
amazonian	n亚马逊河区的印第安人;adj.亚马逊河的;有男子气的
amazonite	n天河石;铜录常石
amb	=ambassador;=ambulance
ambages	n迂回的道路;拐弯抹角;诡秘的行动
ambagious	adj.迂远的;迂曲的
amban	n清朝的办事大臣
ambary	n洋麻
ambassador	n大使;代表;使节
ambassador at large	n无任所大使
ambassador extraordinary	n特命大使
ambassadorial	adj.大使的;使节的
ambassador plenipotentiary	n全权大使
ambassadorship	n大使的职位
ambassadress	n女大使;大使夫人
amber	n琥珀;琥珀色;黄色;线状无烟火药;adj.琥珀制的，琥珀色的;v.使成琥珀色
ambergris	n鲸粪;龙涎香
amberina	n美产的一种艺术玻璃
amberjack	n琥珀鱼
amberoid	n人造琥珀
ambi	pref.围绕;双方;两侧
ambiance	n周围;气氛;环境
ambidexter	n两手灵巧的人;怀有二心者;两面讨好者;adj.两手灵巧的;两面讨好的;怀有二心的
ambidexterity	n两手灵巧;怀有二心
ambidexterous	adj.=ambidexter
ambience	n包围;环境;气氛
ambient	adj.围绕着的;周围的
ambiguity	n暧昧;意义不明确;含糊
ambiguous	adj.模棱两可的;不明确的;暧昧的
ambiguously	adj.不明确地;暧昧地
ambilanak	adj.马来西亚的招赘制的
ambilateral	adj.双方面的
ambisinister	adj.两手均不灵活的
ambit	n界限;范围;领域
ambitendency	n对物之喜恶感的同时存在
ambition	n野心;雄心;奢望;v.妄想得到
ambitious	adj.雄心勃勃的;有野心的;
ambitiously	adv.雄心勃勃地
ambitiousness	n不凡的抱负
ambivalence	n正反感情业存;矛盾心理
ambiversion	n双向性格
ambivert	n中性性格者
ambivlant	adj.对人事务有矛盾感情的
amble	n马的溜蹄;慢步;v.漫步走;缓驰
ambler	n以溜步法走的马;慢步走的人
amblyopia	n弱视
amblyoscope	n弱视镜;弱视矫正器
ambo	n安保族人(语)(非洲那米比亚北部)
amboina	n安汶岛;安汶港
amboinese	n安汶人(语)
amboyna	n安波那木材
ambrette seed	n秋葵子
ambrosia	n神仙食品;神食;美味食品
ambrosial	adj.适用於神的;美味的;芬芳的
ambrosian	=ambrosial
ambrotype	n玻璃版照相
ambry	n储藏间;壁橱
ambsace	n运气差;最少量;毫无价值的东西
ambulacral	adj.[动]步带的
ambulacrum	n[动]步带
ambulance	n野战医院;救护车(船，机)
ambulance chaser	n专办交通事故损害赔偿等的律师
ambulance crops	n野战救护队
ambulanceman	n救护人员
